invoice_id,credit_note_id,invoice_total_usd,write_off_amount_usd,contract_number,contract_status_sf,subscription_status_cb,sf_dunning_status,payment_rejected_count,payment_accepted_count,payment_accepted_amount_usd,customer_id,en_lista_cancelacion,flag
9488,CN-486,69.0,69.0,00315475,Finalized,CANCELLED,stopped,1,0,0,a5jUU000000DRgjYAG,NO,FUERA_DE_LISTA_CANCELACION
9605,CN-485,75.0,75.0,00317926,Cancelled,CANCELLED,stopped,2,0,0,a5jUU000000EvRRYA0,NO,FUERA_DE_LISTA_CANCELACION
9300,CN-484,99.0,99.0,00318504,Cancelled,CANCELLED,stopped,1,0,0,a5jUU000000Fm17YAC,NO,FUERA_DE_LISTA_CANCELACION
2512,CN-483,139.0,139.0,00316693,Cancelled,CANCELLED,exhausted,30,0,0,a5jUU000000CaMHYA0,NO,FUERA_DE_LISTA_CANCELACION
4625,CN-482,139.0,139.0,00316693,Cancelled,CANCELLED,stopped,13,0,0,a5jUU000000CaMHYA0,NO,FUERA_DE_LISTA_CANCELACION
6940,CN-481,139.0,139.0,00316693,Cancelled,CANCELLED,stopped,9,0,0,a5jUU000000CaMHYA0,NO,FUERA_DE_LISTA_CANCELACION
9346,CN-480,139.0,139.0,00316693,Cancelled,CANCELLED,stopped,1,0,0,a5jUU000000CaMHYA0,NO,FUERA_DE_LISTA_CANCELACION
9410,CN-479,25.0,25.0,00316693,Cancelled,CANCELLED,stopped,1,0,0,a5jUU000000CaMHYA0,NO,FUERA_DE_LISTA_CANCELACION
7543,CN-478,79.0,79.0,00314952,Cancelled,CANCELLED,stopped,6,0,0,a5jUU000000DLrRYAW,NO,FUERA_DE_LISTA_CANCELACION
7681,CN-477,25.0,25.0,00314952,Cancelled,CANCELLED,stopped,6,0,0,a5jUU000000DLrRYAW,NO,FUERA_DE_LISTA_CANCELACION
8608,CN-476,99.0,99.0,00318348,Cancelled,CANCELLED,stopped,3,0,0,a5jUU000000FXIDYA4,NO,FUERA_DE_LISTA_CANCELACION
8971,CN-475,25.0,25.0,00318348,Cancelled,CANCELLED,stopped,2,0,0,a5jUU000000FXIDYA4,NO,FUERA_DE_LISTA_CANCELACION
8612,CN-474,99.0,99.0,00318287,Cancelled,CANCELLED,stopped,3,0,0,a5jUU000000FTePYAW,NO,FUERA_DE_LISTA_CANCELACION
8973,CN-473,25.0,25.0,00318287,Cancelled,CANCELLED,stopped,2,0,0,a5jUU000000FTePYAW,NO,FUERA_DE_LISTA_CANCELACION
6842,CN-472,99.0,99.0,00318185,Cancelled,CANCELLED,stopped,3,0,0,a5jUU000000FMQ1YAO,NO,FUERA_DE_LISTA_CANCELACION
7002,CN-471,139.0,139.0,00318163,Cancelled,CANCELLED,stopped,9,0,0,a5jUU000000FKknYAG,NO,FUERA_DE_LISTA_CANCELACION
