00289937	19 dic 2025	Does not comply with the obligations of the Contract
00309564	19 dic 2025	Does not comply with the obligations of the Contract
00311797	19 dic 2025	Does not comply with the obligations of the Contract
00311887	19 dic 2025	Does not comply with the obligations of the Contract
00312251	19 dic 2025	Does not comply with the obligations of the Contract
00312270	19 dic 2025	Does not comply with the obligations of the Contract
00312669	19 dic 2025	Does not comply with the obligations of the Contract
00312713	19 dic 2025	Does not comply with the obligations of the Contract
00312868	19 dic 2025	Does not comply with the obligations of the Contract
00313112	19 dic 2025	Does not comply with the obligations of the Contract
00313178	19 dic 2025	Does not comply with the obligations of the Contract
00313229	19 dic 2025	Does not comply with the obligations of the Contract
00313496	19 dic 2025	Does not comply with the obligations of the Contract
00313513	19 dic 2025	Does not comply with the obligations of the Contract
00313658	19 dic 2025	Does not comply with the obligations of the Contract
00313857	19 dic 2025	Does not comply with the obligations of the Contract
00313892	19 dic 2025	Does not comply with the obligations of the Contract
00314055	19 dic 2025	Does not comply with the obligations of the Contract
00314074	19 dic 2025	Does not comply with the obligations of the Contract
00314241	19 dic 2025	Does not comply with the obligations of the Contract
00314281	19 dic 2025	Does not comply with the obligations of the Contract
00314289	19 dic 2025	Does not comply with the obligations of the Contract
00314302	19 dic 2025	Does not comply with the obligations of the Contract
00314324	19 dic 2025	Does not comply with the obligations of the Contract
00314329	19 dic 2025	Does not comply with the obligations of the Contract
00314333	19 dic 2025	Does not comply with the obligations of the Contract
00314343	19 dic 2025	Does not comply with the obligations of the Contract
00314346	19 dic 2025	Does not comply with the obligations of the Contract
00314356	19 dic 2025	Does not comply with the obligations of the Contract
00314378	19 dic 2025	Does not comply with the obligations of the Contract
00314405	19 dic 2025	Does not comply with the obligations of the Contract
00314409	19 dic 2025	Does not comply with the obligations of the Contract
00314421	19 dic 2025	Does not comply with the obligations of the Contract
00314423	19 dic 2025	Does not comply with the obligations of the Contract
00314477	19 dic 2025	Does not comply with the obligations of the Contract
00314488	19 dic 2025	Does not comply with the obligations of the Contract
00314515	19 dic 2025	Does not comply with the obligations of the Contract
00314517	19 dic 2025	Does not comply with the obligations of the Contract
00314540	19 dic 2025	Does not comply with the obligations of the Contract
00314544	19 dic 2025	Does not comply with the obligations of the Contract
00314602	19 dic 2025	Does not comply with the obligations of the Contract
00314609	19 dic 2025	Does not comply with the obligations of the Contract
00314637	19 dic 2025	Does not comply with the obligations of the Contract
00314657	19 dic 2025	Does not comply with the obligations of the Contract
00314685	19 dic 2025	Does not comply with the obligations of the Contract
00314708	19 dic 2025	Does not comply with the obligations of the Contract
00314709	19 dic 2025	Does not comply with the obligations of the Contract
00314710	19 dic 2025	Does not comply with the obligations of the Contract
00314716	19 dic 2025	Does not comply with the obligations of the Contract
00314721	19 dic 2025	Does not comply with the obligations of the Contract
00314728	19 dic 2025	Does not comply with the obligations of the Contract
00314731	19 dic 2025	Does not comply with the obligations of the Contract
00314777	19 dic 2025	Does not comply with the obligations of the Contract
00314788	19 dic 2025	Does not comply with the obligations of the Contract
00314805	19 dic 2025	Does not comply with the obligations of the Contract
00314811	19 dic 2025	Does not comply with the obligations of the Contract
00314886	19 dic 2025	Does not comply with the obligations of the Contract
00314913	19 dic 2025	Does not comply with the obligations of the Contract
00314914	19 dic 2025	Does not comply with the obligations of the Contract
00314924	19 dic 2025	Does not comply with the obligations of the Contract
00314939	19 dic 2025	Does not comply with the obligations of the Contract
00314987	19 dic 2025	Does not comply with the obligations of the Contract
00315020	19 dic 2025	Does not comply with the obligations of the Contract
00313053	13 ene 2026	Does not comply with the obligations of the Contract
00313565	13 ene 2026	Does not comply with the obligations of the Contract
00313876	13 ene 2026	Does not comply with the obligations of the Contract
00313948	13 ene 2026	Does not comply with the obligations of the Contract
00314178	13 ene 2026	Does not comply with the obligations of the Contract
00314179	13 ene 2026	Does not comply with the obligations of the Contract
00314206	13 ene 2026	Does not comply with the obligations of the Contract
00314265	13 ene 2026	Does not comply with the obligations of the Contract
00314485	13 ene 2026	Does not comply with the obligations of the Contract
00307629	03 feb 2026	Does not comply with the obligations of the Contract
00310961	03 feb 2026	Does not comply with the obligations of the Contract
00311669	03 feb 2026	Does not comply with the obligations of the Contract
00312542	03 feb 2026	Does not comply with the obligations of the Contract
00312940	03 feb 2026	Does not comply with the obligations of the Contract
00313052	03 feb 2026	Does not comply with the obligations of the Contract
00313109	03 feb 2026	Does not comply with the obligations of the Contract
00313166	03 feb 2026	Does not comply with the obligations of the Contract
00313321	03 feb 2026	Does not comply with the obligations of the Contract
00313400	03 feb 2026	Does not comply with the obligations of the Contract
00313521	03 feb 2026	Does not comply with the obligations of the Contract
00313654	03 feb 2026	Does not comply with the obligations of the Contract
00314193	03 feb 2026	Does not comply with the obligations of the Contract
00314435	03 feb 2026	Does not comply with the obligations of the Contract
00314791	03 feb 2026	Does not comply with the obligations of the Contract
00314904	03 feb 2026	Does not comply with the obligations of the Contract
00314931	03 feb 2026	Does not comply with the obligations of the Contract
00314993	03 feb 2026	Does not comply with the obligations of the Contract
00315023	03 feb 2026	Does not comply with the obligations of the Contract
00315024	03 feb 2026	Does not comply with the obligations of the Contract
00315025	03 feb 2026	Does not comply with the obligations of the Contract
00315085	03 feb 2026	Does not comply with the obligations of the Contract
00315094	03 feb 2026	Does not comply with the obligations of the Contract
00315145	03 feb 2026	Does not comply with the obligations of the Contract
00315285	03 feb 2026	Does not comply with the obligations of the Contract
00241829	09 feb 2026	Does not comply with the obligations of the Contract
00274381	09 feb 2026	Does not comply with the obligations of the Contract
00309408	09 feb 2026	Does not comply with the obligations of the Contract
00309545	09 feb 2026	Does not comply with the obligations of the Contract
00310241	09 feb 2026	Does not comply with the obligations of the Contract
00310489	09 feb 2026	Does not comply with the obligations of the Contract
00311391	09 feb 2026	Does not comply with the obligations of the Contract
00311956	09 feb 2026	Does not comply with the obligations of the Contract
00312116	09 feb 2026	Does not comply with the obligations of the Contract
00312182	09 feb 2026	Does not comply with the obligations of the Contract
00312290	09 feb 2026	Does not comply with the obligations of the Contract
00313121	09 feb 2026	Does not comply with the obligations of the Contract
00313173	09 feb 2026	Does not comply with the obligations of the Contract
00313203	09 feb 2026	Does not comply with the obligations of the Contract
00313224	09 feb 2026	Does not comply with the obligations of the Contract
00313225	09 feb 2026	Does not comply with the obligations of the Contract
00313274	09 feb 2026	Does not comply with the obligations of the Contract
00313283	09 feb 2026	Does not comply with the obligations of the Contract
00313326	09 feb 2026	Does not comply with the obligations of the Contract
00313425	09 feb 2026	Does not comply with the obligations of the Contract
00313430	09 feb 2026	Does not comply with the obligations of the Contract
00313535	09 feb 2026	Does not comply with the obligations of the Contract
00313619	09 feb 2026	Does not comply with the obligations of the Contract
00313828	09 feb 2026	Does not comply with the obligations of the Contract
00313908	09 feb 2026	Does not comply with the obligations of the Contract
00314020	09 feb 2026	Does not comply with the obligations of the Contract
00314052	09 feb 2026	Does not comply with the obligations of the Contract
00314064	09 feb 2026	Does not comply with the obligations of the Contract
00314091	09 feb 2026	Does not comply with the obligations of the Contract
